ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
717,Lipid17,CHOL:POPC (7:8),298.15,50.0,2.2517,0.2655,,
714,Lipid17,CHOL:POPC (7:8),298.15,50.0,2.3517,0.265,,
707,Lipid17,CHOL:POPC (7:8),298.15,50.0,2.3517,0.2611,,
682,Slipids,CHOL:POPC (7:8),298.15,50.0,1.7517,0.2414,,
82,slipids,CHOL:POPC (1:1),298.0,39.7,3.3858,0.2355,,
712,Slipids,CHOL:POPC (7:8),298.15,50.0,1.7517,0.2354,,
671,MacRog,CHOL:POPC (7:8),298.15,50.0,2.3267,0.2223,,
703,Slipids,CHOL:POPC (7:8),298.15,50.0,1.7517,0.219,,
699,MacRog,CHOL:POPC (7:8),298.15,50.0,2.3267,0.204,,
543,CHARMM36,CHOL:POPC (7:8),298.15,50.0,2.2517,0.1999,,
166,CHARMM36,CHOL:POPC (7:8),298.15,50.0,2.2517,0.1995,,
91,CHARMM36,CHOL:POPC (7:8),298.15,50.0,2.2517,0.1961,,
299,Berger and Modified Höltje model for cholesterol,CHOL:POPC (1:1),298.0,80.6,1.2858,0.1705,,
704,MacRog,CHOL:POPC (7:8),298.15,50.0,2.0517,0.0377,,
