ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
800,CHARMM36,DMPC (1),314.0,5.0,,0.66,0.645,0.6901
809,CHARMM36,DMPC (1),314.0,10.0,,0.6488,0.6504,0.6456
810,OPLS4,DMPC (1),314.0,10.0,,0.6279,0.5503,0.7831
811,OPLS4,DMPC (1),314.0,5.0,,0.6233,0.589,0.6917
813,OPLS4,DMPC (1),314.0,45.0,,0.5752,0.5336,0.6583
808,CHARMM36,DMPC (1),314.0,50.0,,0.2882,0.1043,0.6561
789,Charmm36,DMPC (1),313.15,50.0,,0.2872,0.1149,0.6318
788,Charmm36,DMPC (1),313.15,50.0,,0.2797,0.1208,0.5974
912,Lipid21(AMBER),DMPC (1),303.15,34.0,0.8243,0.2165,0.2509,0.1821
910,CHARMM36,DMPC (1),303.15,34.0,0.571,0.1556,0.1581,0.1532
