ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
414,Slipids,POPE (1),310.0,50.0,1.0,0.5215,0.7791,0.0063
360,ECC-lipids,POPC (1),313.0,50.0,0.9999,,,
93,ECC-lipids,POPC (1),313.0,50.0,0.9989,,,
154,Lipid14,POPC (1),303.0,31.0,0.9988,,,
376,Slipids,POPC (1),303.0,40.0,0.9971,,,
751,Charmm-Drude polarizable2023,POPE (1),308.0,32.0,0.9964,0.4751,0.5705,0.2844
127,ECC-lipids,POPC (1),313.0,50.0,0.9936,,,
662,Lipid17,CHOL:POPC (1:4),298.15,50.0,0.9918,,,
814,OPLS4,POPC (1),300.0,45.0,0.9894,0.8,0.8361,0.7278
591,Slipids2020,POPC (1),303.0,40.0,0.9881,,,
267,Poger GROMOS 53A6_L; Reaction Field for computing electrostatics,DPPC (1),323.0,45.6,0.9752,,,
805,OPLS3e,POPC (1),300.0,44.3,0.9747,0.8051,0.8422,0.7309
750,Charmm-Drude polarizable2023,POPE (1),308.0,32.0,0.9718,0.5312,0.649,0.2956
593,Poger GROMOS 53A6_L,DPPC (1),323.0,45.6,0.9712,,,
365,Poger GROMOS 53A6_L,DPPC (1),323.0,45.6,0.9644,,,
529,Slipids,POPS (1),298.0,35.0,0.9591,0.1851,0.2214,0.1125
233,CHARMM36-UA,POPE (1),310.0,45.4,0.9536,0.3744,0.4252,0.2728
352,CHARMM36-UA,POPE (1),310.0,45.4,0.9529,0.3822,0.4136,0.3195
667,Lipid17,CHOL:POPC (1:4),298.15,50.0,0.9516,,,
747,Charmm-Drude polarizable,POPE (1),308.0,32.0,0.9467,0.5584,0.6889,0.2974
748,Charmm-Drude polarizable,POPC (1),303.0,31.1,0.9421,,,
545,Poger GROMOS 53A6_L; Reaction Field for computing electrostatics,DPPC (1),323.0,45.6,0.9353,,,
666,Lipid17,CHOL:POPC (1:4),298.15,50.0,0.9275,,,
443,"ECC-lipids, SPC water model, ECC-ions",POPS (1),298.0,50.0,0.9223,0.51,0.6844,0.1614
338,Slipids,POPS (1),298.0,35.0,0.9223,0.1679,0.1796,0.1444
400,GROMOS-CKP,POPE (1),310.0,50.0,0.9186,0.5323,0.651,0.2949
38,Orange,POPC (1),298.0,40.0,0.9079,0.2904,0.4069,0.0574
103,ECC-lipids,POPC (1),313.0,50.0,0.9053,,,
147,Berger lipids + Gromos 53A6,DMPC (1),323.0,28.6,0.898,,,
715,Lipid17,POPC (1),298.15,50.0,0.8957,0.6511,0.7313,0.4905
595,ECC-lipids,POPC (1),313.0,50.0,0.8887,,,
589,Berger and Modified Höltje model for cholesterol,CHOL:POPC (9:55),298.0,66.3,0.8877,0.2744,0.4008,0.0215
