ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
803,OPLS4,POPC (1),300.0,20.0,,0.8135,0.8683,0.7039
815,OPLS3e,POPC (1),300.0,20.0,,0.8112,0.8669,0.6996
805,OPLS3e,POPC (1),300.0,44.3,0.9747,0.8051,0.8422,0.7309
814,OPLS4,POPC (1),300.0,45.0,0.9894,0.8,0.8361,0.7278
804,OPLS4,POPC (1),300.0,12.0,,0.7984,0.85,0.6952
894,CHARMM36m,SDPC (1),303.15,46.0,0.101,0.7886,0.7886,0.0
900,CHARMM36m,SDPC (1),303.15,48.0,0.0984,0.7835,0.7835,0.0
899,CHARMM36m,SDPC (1),303.15,48.0,0.1003,0.7807,0.7808,0.0
901,CHARMM36m,SDPC (1),303.15,46.0,0.0886,0.7792,0.7792,0.0
802,OPLS4,POPC (1),300.0,7.5,,0.7734,0.8034,0.7135
796,OPLS3e,POPC (1),300.0,5.0,,0.7709,0.7824,0.7478
830,C36_Slipids_Hybrid,POPC (1),298.0,50.0,0.3048,0.717,0.7447,0.6615
817,OPLS4,POPC (1),300.0,5.0,,0.7092,0.722,0.6836
658,MacRog,POPC (1),298.15,50.0,0.3818,0.6963,0.707,0.6749
617,Slipids,POPC (1),298.0,46.8,0.7597,0.6921,0.7281,0.6203
684,Lipid17,POPC (1),298.15,50.0,0.7976,0.6725,0.7239,0.5697
457,MacRog,POPC (1),300.0,40.0,0.4673,0.6676,0.6858,0.6312
657,Lipid17,POPC (1),298.15,50.0,0.8504,0.6659,0.7211,0.5554
798,CHARMM36,POPC (1),300.0,12.0,,0.6657,0.6866,0.624
674,MacRog,POPC (1),298.15,50.0,0.493,0.665,0.6968,0.6013
906,CHARMM36m,PILPC (1),303.15,42.0,,0.662,0.331,0.0
800,CHARMM36,DMPC (1),314.0,5.0,,0.66,0.645,0.6901
675,MacRog,POPC (1),298.15,50.0,0.4311,0.659,0.6605,0.6558
908,CHARMM36m,PILPC (1),303.15,42.0,,0.6559,0.328,0.0
715,Lipid17,POPC (1),298.15,50.0,0.8957,0.6511,0.7313,0.4905
806,CHARMM36,POPC (1),300.0,7.5,,0.6489,0.6295,0.6877
809,CHARMM36,DMPC (1),314.0,10.0,,0.6488,0.6504,0.6456
606,MacRog,POPC (1),298.0,20.0,,0.6434,0.6602,0.6098
696,Slipids,POPC (1),298.15,50.0,0.7477,0.6426,0.669,0.5897
831,C36_Slipids_Hybrid,POPC (1),298.0,50.0,0.2142,0.6389,0.6286,0.6595
810,OPLS4,DMPC (1),314.0,10.0,,0.6279,0.5503,0.7831
811,OPLS4,DMPC (1),314.0,5.0,,0.6233,0.589,0.6917
47,CHARMM36,DOPC (1),303.15,50.0,0.4967,0.6186,0.607,0.6416
708,Slipids,POPC (1),298.15,50.0,0.581,0.5997,0.6177,0.5637
63,MacRog,POPC (1),298.0,50.0,0.4335,0.5974,0.5853,0.6216
551,CHARMM36,DOPC (1),303.15,50.0,0.4823,0.5898,0.5656,0.6381
797,OpenFF,POPC (1),300.0,40.0,0.1238,0.5887,0.5704,0.6252
742,AMOEBA,DOPC (1),303.0,40.0,0.3199,0.5814,0.5726,0.5988
813,OPLS4,DMPC (1),314.0,45.0,,0.5752,0.5337,0.6583
761,OpenFF,POPC (1),300.0,39.1,0.0019,0.568,0.5584,0.5872
414,Slipids,POPE (1),310.0,50.0,1.0,0.568,0.8488,0.0063
837,FF-development,POPC (1),300.0,40.0,0.0324,0.5638,0.5676,0.5561
792,OpenFF,POPC (1),300.0,39.1,0.0002,0.5635,0.5485,0.5935
747,Charmm-Drude polarizable,POPE (1),308.0,32.0,0.9467,0.5614,0.6934,0.2974
664,Slipids,POPC (1),298.15,50.0,0.3707,0.5565,0.5601,0.5492
316,CHARMM36,DOPC (1),303.15,50.0,0.4512,0.5558,0.5112,0.6449
573,ECC-lipids,POPC (1),300.0,50.0,0.5511,0.5506,0.4977,0.6565
750,Charmm-Drude polarizable2023,POPE (1),308.0,32.0,0.9718,0.543,0.6667,0.2956
751,Charmm-Drude polarizable2023,POPE (1),308.0,32.0,0.9964,0.5239,0.6437,0.2844
829,Sage 2.2.1,POPC (1),300.0,40.0,0.0089,0.5107,0.7091,0.114
443,"ECC-lipids, SPC water model, ECC-ions",POPS (1),298.0,50.0,0.9223,0.4953,0.6622,0.1614
74,Slipids,POPE (1),310.0,40.1,,0.4909,0.6858,0.1012
29,Slipids,POPE (1),310.0,40.1,,0.4784,0.6666,0.1021
43,ECC-lipids,POPC (1),300.0,50.0,0.3325,0.4675,0.3767,0.649
400,GROMOS-CKP,POPE (1),310.0,50.0,0.9186,0.4566,0.5374,0.2949
497,Berger,POPC (1),298.0,57.0,0.0717,0.4474,0.6641,0.0138
115,Berger,POPC (1),300.0,40.4,0.1027,0.4446,0.6645,0.0048
558,CHARMM36,POPC (1),300.0,38.2,0.0455,0.423,0.2948,0.6795
701,CHARMM36,POPC (1),298.15,50.0,0.0604,0.4213,0.2892,0.6856
164,CHARMM36,POPC (1),300.0,44.4,0.0484,0.4177,0.2896,0.6738
597,"GROMOS-CKP, Berger/Chiu NH3 charges and PME",POPS (1),298.0,35.0,0.7233,0.4026,0.497,0.2137
710,CHARMM36,POPC (1),298.15,50.0,0.0388,0.4017,0.2696,0.6659
678,CHARMM36,POPC (1),298.15,50.0,0.016,0.3912,0.2693,0.6351
828,Sage 2.2.1,POPC (1),300.0,40.0,0.0,0.3899,0.3101,0.5495
425,"GROMOS-CKP, GROMOS NH3 charges and PME",POPS (1),298.0,35.0,0.7628,0.3796,0.4931,0.1525
305,Berger and Modified Höltje model for cholesterol,CHOL:POPC (1:15),298.0,57.0,0.1603,0.3775,0.5603,0.0118
473,"GROMOS-CKP, GROMOS NH3 charges and PME",POPS (1),298.0,35.0,0.8487,0.3746,0.4994,0.1252
546,CHARMM36,POPC (1),298.15,50.0,0.0085,0.3669,0.2666,0.5675
30,Lipid14 with Verlet scheme,POPC (1),298.15,40.0,0.2666,0.3666,0.26,0.5799
905,CHARMM36m,SD5PC (1),303.15,48.0,,0.3625,0.1812,0.0
904,CHARMM36m,SD5PC (1),303.15,48.0,,0.3618,0.1809,0.0
765,Charmm36,SM16 (1),328.15,45.0,0.0,0.3412,0.1706,0.0
378,MacRog,POPC (1),298.0,5.0,,0.3381,0.3137,0.3869
430,CHARMM36,POPE (1),310.0,40.0,0.4993,0.3369,0.236,0.5386
836,FF-development,POPC (1),300.0,40.0,0.0001,0.3347,0.4433,0.1176
795,Charmm36,POPC (1),300.0,5.0,,0.3275,0.1781,0.6263
233,CHARMM36-UA,POPE (1),310.0,45.4,0.9536,0.319,0.3421,0.2728
352,CHARMM36-UA,POPE (1),310.0,45.4,0.9529,0.3161,0.3144,0.3195
834,Sage2.2.0 Espaloma Charges,POPC (1),300.0,40.0,0.0,0.3115,0.1992,0.5361
535,"GROMOS-CKP, Berger/Chiu NH3 charges and PME",POPS (1),298.0,35.0,0.7687,0.3028,0.3524,0.2036
833,FF-development,POPC (1),300.0,40.0,0.0029,0.2948,0.1773,0.5299
808,CHARMM36,DMPC (1),314.0,50.0,,0.2882,0.1043,0.6561
789,Charmm36,DMPC (1),313.15,50.0,,0.2872,0.1149,0.6318
589,Berger and Modified Höltje model for cholesterol,CHOL:POPC (9:55),298.0,66.3,0.8877,0.2862,0.4231,0.0125
788,Charmm36,DMPC (1),313.15,50.0,,0.2797,0.1208,0.5974
832,FF-development,POPC (1),300.0,40.0,0.0007,0.2767,0.1768,0.4766
128,Berger delivered by Peter Tieleman,POPC (1),298.0,7.0,,0.2696,0.394,0.0207
717,Lipid17,CHOL:POPC (7:8),298.15,50.0,0.0,0.2618,0.2747,0.1699
38,Orange,POPC (1),298.0,40.0,0.9079,0.2557,0.3691,0.0287
714,Lipid17,CHOL:POPC (7:8),298.15,50.0,0.0,0.2514,0.2615,0.1653
707,Lipid17,CHOL:POPC (7:8),298.15,50.0,0.0,0.2363,0.2449,0.1541
207,Slipids,POPG (1),298.0,37.0,,0.2318,0.2897,0.116
731,Charmm-Drude,POPE (1),310.0,35.0,0.0,0.2249,0.3077,0.0593
67,CHARMM36,POPE (1),310.0,50.0,0.3167,0.2142,0.0564,0.5297
82,slipids,CHOL:POPC (1:1),298.0,39.7,0.0014,0.2087,0.1953,0.1765
682,Slipids,CHOL:POPC (7:8),298.15,50.0,0.0003,0.1948,0.1781,0.1681
712,Slipids,CHOL:POPC (7:8),298.15,50.0,0.0003,0.192,0.1751,0.1671
790,Charmm36,POPE (1),310.0,40.0,0.2055,0.1891,0.0974,0.3724
422,Chiu Gromos,POPC (1),298.0,27.8,0.3149,0.1841,0.2395,0.0733
838,Parsley 1.3.1,POPC (1),300.0,40.0,0.0,0.183,0.0182,0.5127
529,Slipids,POPS (1),298.0,35.0,0.9591,0.1794,0.2129,0.1125
166,CHARMM36,CHOL:POPC (7:8),298.15,50.0,0.0,0.1789,0.1515,0.184
543,CHARMM36,CHOL:POPC (7:8),298.15,50.0,0.0,0.1779,0.1487,0.1866
730,AMOEBA,POPE (1),310.0,40.0,0.0069,0.1774,0.1632,0.2059
703,Slipids,CHOL:POPC (7:8),298.15,50.0,0.0003,0.1737,0.1542,0.1583
91,CHARMM36,CHOL:POPC (7:8),298.15,50.0,0.0,0.1713,0.1437,0.1776
521,Lipid17 and ff99 ions,POPS (1),298.0,50.0,0.7368,0.1692,0.1856,0.1364
671,MacRog,CHOL:POPC (7:8),298.15,50.0,0.0,0.1663,0.1238,0.196
338,Slipids,POPS (1),298.0,35.0,0.9223,0.1626,0.1717,0.1444
263,CHARMM36-UA,POPS (1),298.0,35.0,0.7549,0.1621,0.1121,0.2621
699,MacRog,CHOL:POPC (7:8),298.15,50.0,0.0,0.1599,0.1213,0.1863
195,Lipid17,POPE (1),310.0,50.0,0.3519,0.1568,0.1926,0.085
5,CHARMM36,POPS (1),298.0,35.0,0.2602,0.1332,0.069,0.2618
202,GROMOS-CKP,POPC (1),298.0,50.0,0.0367,0.1282,0.1742,0.0362
367,CHARMM36-UA,POPS (1),298.0,35.0,0.5294,0.1272,0.0784,0.2248
704,MacRog,CHOL:POPC (7:8),298.15,50.0,0.0001,0.1162,0.0822,0.175
292,MacRog,POPS (1),298.0,35.0,0.2221,0.1134,0.075,0.1902
835,FF-development,POPC (1),300.0,40.0,0.0,0.1023,0.0058,0.2953
26,MacRog,POPS (1),298.0,35.0,0.3078,0.1021,0.0702,0.1659
842,PROSECCO,POPS (1),298.0,40.0,0.2835,0.097,0.021,0.2491
299,Berger and Modified Höltje model for cholesterol,CHOL:POPC (1:1),298.0,80.6,0.1698,0.0851,0.0976,0.0083
106,CHARMM36,POPS (1),298.0,35.0,0.0911,0.0849,0.0389,0.177
206,Berger and Modified Höltje model for cholesterol,CHOL:POPC (11:21),298.0,53.1,0.8391,0.078,0.1009,0.0321
882,OPLS-aa,POPE (1),310.0,40.0,0.123,0.065,0.0753,0.0445
502,Berger,POPS (1),298.0,35.0,0.0695,0.0593,0.0246,0.1288
480,Berger,POPS (1),298.0,35.0,0.0827,0.0527,0.0251,0.1078
