ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
747,Charmm-Drude polarizable,POPE (1),308.0,32.0,0.3,0.5584,0.6889,0.2974
400,GROMOS-CKP,POPE (1),310.0,50.0,0.4,0.5323,0.651,0.2949
750,Charmm-Drude polarizable2023,POPE (1),308.0,32.0,0.2,0.5312,0.649,0.2956
414,Slipids,POPE (1),310.0,50.0,0.1,0.5215,0.7791,0.0063
29,Slipids,POPE (1),310.0,40.1,,0.5141,0.7202,0.1021
74,Slipids,POPE (1),310.0,40.1,,0.51,0.7144,0.1012
751,Charmm-Drude polarizable2023,POPE (1),308.0,32.0,0.0,0.4751,0.5705,0.2844
430,CHARMM36,POPE (1),310.0,40.0,1.3,0.444,0.3967,0.5386
352,CHARMM36-UA,POPE (1),310.0,45.4,0.3,0.3822,0.4136,0.3195
233,CHARMM36-UA,POPE (1),310.0,45.4,0.3,0.3744,0.4252,0.2728
731,Charmm-Drude,POPE (1),310.0,35.0,0.8,0.2856,0.3986,0.0593
67,CHARMM36,POPE (1),310.0,50.0,1.7,0.2471,0.1058,0.5297
790,Charmm36,POPE (1),310.0,40.0,2.0,0.2271,0.1544,0.3724
195,Lipid17,POPE (1),310.0,50.0,1.6,0.1874,0.2386,0.085
730,AMOEBA,POPE (1),310.0,40.0,3.8,0.1791,0.1656,0.2059
